"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21316","test_order_summary_shows_total","web.tests","Thu May 07 16:15:17 UTC 2026","broken","Thu May 07 16:15:39 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","21335","test_cart_contains_added_items","web.tests","Thu May 07 16:14:35 UTC 2026","broken","Thu May 07 16:14:56 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","21295","test_add_products_to_cart","web.tests","Thu May 07 16:14:14 UTC 2026","broken","Thu May 07 16:14:35 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","21344","test_back_to_products_after_order","web.tests","Thu May 07 16:16:00 UTC 2026","broken","Thu May 07 16:16:21 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","721","test_login_with_invalid_credentials","web.tests","Thu May 07 16:12:25 UTC 2026","passed","Thu May 07 16:12:26 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","21275","test_finish_order_shows_confirmation","web.tests","Thu May 07 16:15:39 UTC 2026","broken","Thu May 07 16:16:00 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","253","test_login_empty_password","web.tests","Thu May 07 16:12:26 UTC 2026","passed","Thu May 07 16:12:27 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","334","test_login_valid_user","web.tests","Thu May 07 16:12:27 UTC 2026","passed","Thu May 07 16:12:27 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","21285","test_checkout_step_one_fills_info","web.tests","Thu May 07 16:14:56 UTC 2026","broken","Thu May 07 16:15:17 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","21297","test_cart_badge_updates","web.tests","Thu May 07 16:13:10 UTC 2026","broken","Thu May 07 16:13:31 UTC 2026","TestInventory","test_checkout_flow","",""
"","21282","test_inventory_title","web.tests","Thu May 07 16:12:27 UTC 2026","broken","Thu May 07 16:12:48 UTC 2026","TestInventory","test_checkout_flow","",""
"","21263","test_add_one_item_to_cart","web.tests","Thu May 07 16:12:48 UTC 2026","broken","Thu May 07 16:13:10 UTC 2026","TestInventory","test_checkout_flow","",""
"","240","test_login_empty_credentials","web.tests","Thu May 07 16:12:26 UTC 2026","passed","Thu May 07 16:12:26 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","21316","test_go_to_cart","web.tests","Thu May 07 16:13:31 UTC 2026","broken","Thu May 07 16:13:52 UTC 2026","TestInventory","test_checkout_flow","",""
"","304","test_login_locked_user","web.tests","Thu May 07 16:12:26 UTC 2026","passed","Thu May 07 16:12:26 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","21311","test_login_navigates_to_inventory","web.tests","Thu May 07 16:13:52 UTC 2026","broken","Thu May 07 16:14:14 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
